user_id,url_id,text,review_rate,time_created,restaurant_id,user_id,name
MJ6Ok9VPBiT6dqA173aG1g,https://www.yelp.com/biz/mitsuba-rio-de-janeiro?adjust_creative=ZaFQ4_OiriT3AVd55N_QPg&hrid=MJ6Ok9VPBiT6dqA173aG1g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=ZaFQ4_OiriT3AVd55N_QPg,Great set up and initially impressive selection of fresh fish etc. karaage chicken was 5*. Sushi/sashimi combo was odd. Ordered 20 pieces and got 18. Server...,3,2023-04-20 10:11:20,sl62Q73wKviAZRJUMy3ryw,AncvRQjxjbu4sFjnNcLL2Q,Alex R.
dyLPwsV6a69811qtd99JVg,https://www.yelp.com/biz/mitsuba-rio-de-janeiro?adjust_creative=ZaFQ4_OiriT3AVd55N_QPg&hrid=dyLPwsV6a69811qtd99JVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=ZaFQ4_OiriT3AVd55N_QPg,Rude. Lacking common customer service skills. Like any restaurant lacking respect across the bored. Only focused on group of customers (talk about trying to...,2,2016-03-04 06:17:21,sl62Q73wKviAZRJUMy3ryw,LO_uLZ2ya4VC4JSXqzSFKA,Clari B.
Dl7qb-tA8YKfuQyLXIth3g,https://www.yelp.com/biz/mitsuba-rio-de-janeiro?adjust_creative=ZaFQ4_OiriT3AVd55N_QPg&hrid=Dl7qb-tA8YKfuQyLXIth3g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=ZaFQ4_OiriT3AVd55N_QPg,One of the best japanese restrants in town. Unique assortment of dishes using local fish.,5,2018-07-09 14:13:38,sl62Q73wKviAZRJUMy3ryw,hLjAAlFrOfFk9zhoXpe6zQ,Raphael M.
HI5m1lg2qhzJQHlLBhip6g,https://www.yelp.com/biz/chez-claude-rio-de-janeiro?adjust_creative=ZaFQ4_OiriT3AVd55N_QPg&hrid=HI5m1lg2qhzJQHlLBhip6g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=ZaFQ4_OiriT3AVd55N_QPg,"I really enjoyed the food here, though some dishes were a bit salty for my taste. The ambiance was awesome - very upscale but in that wonderfully laid back...",4,2023-09-16 04:53:45,gMpYZ8t6fuYDam8fzG41lQ,bsFdQ_r7fUbFBPyXM06Phg,Ried S.
FlmMnkRAqgyUwhEEJ3oQ6Q,https://www.yelp.com/biz/chez-claude-rio-de-janeiro?adjust_creative=ZaFQ4_OiriT3AVd55N_QPg&hrid=FlmMnkRAqgyUwhEEJ3oQ6Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=ZaFQ4_OiriT3AVd55N_QPg,"This recommended by the 50 best of the world, not on the list but recommended. But I don't think I would recommend to my friends. You would think a upscale...",3,2023-01-21 08:34:44,gMpYZ8t6fuYDam8fzG41lQ,Pe-aZlHTn3P8NId5WDP3fQ,Alex Z.
zr66aBuU9tvGj3vwTohrNg,https://www.yelp.com/biz/chez-claude-rio-de-janeiro?adjust_creative=ZaFQ4_OiriT3AVd55N_QPg&hrid=zr66aBuU9tvGj3vwTohrNg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=ZaFQ4_OiriT3AVd55N_QPg,An interesting blend of French and Brazilian cuisine. The dishes have a lot of flavor and interesting textures. My favorite was the steak tartare and shrimp...,5,2022-01-21 05:28:38,gMpYZ8t6fuYDam8fzG41lQ,RD365MaKbCCjpZQ2KkxROg,Alex H.
I2cl-AlNF2o3KY7a5vmPPA,https://www.yelp.com/biz/camolese-rio-de-janeiro-3?adjust_creative=ZaFQ4_OiriT3AVd55N_QPg&hrid=I2cl-AlNF2o3KY7a5vmPPA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=ZaFQ4_OiriT3AVd55N_QPg,"The food is good, the personnel is lovely. They deserve a better mark than they have.",5,2019-12-30 16:03:38,juxu6KmXGiKsbO7LziMG9g,wN45Hzt6141pz0QsVyM0lA,Christophe C.
Ox2ReCJjqYwbFf2BXNpsXA,https://www.yelp.com/biz/camolese-rio-de-janeiro-3?adjust_creative=ZaFQ4_OiriT3AVd55N_QPg&hrid=Ox2ReCJjqYwbFf2BXNpsXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=ZaFQ4_OiriT3AVd55N_QPg,I have never had worse service. I was okay with waiting forty five minutes because I had expectations that it was going to be a great experience. The...,1,2018-08-18 12:23:00,juxu6KmXGiKsbO7LziMG9g,-GodybQI5ypKiqaHyN3qkA,Christy L.
T83xWIKg0IhjTW16mEC1iA,https://www.yelp.com/biz/camolese-rio-de-janeiro-3?adjust_creative=ZaFQ4_OiriT3AVd55N_QPg&hrid=T83xWIKg0IhjTW16mEC1iA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=ZaFQ4_OiriT3AVd55N_QPg,"This place is pretty much brand new as of December 2017. Slightly higher end but comfortable both inside and out, and a terrace overlooking the Jockey...",5,2017-12-16 11:45:35,juxu6KmXGiKsbO7LziMG9g,jsnQHmb0ZgwihmC0IjU1OQ,Daniel I.
5WS0DTFcqoB4vDUl6aEy0A,https://www.yelp.com/biz/zacks-rio-de-janeiro?adjust_creative=ZaFQ4_OiriT3AVd55N_QPg&hrid=5WS0DTFcqoB4vDUl6aEy0A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=ZaFQ4_OiriT3AVd55N_QPg,Truly American 'style' food with interesting (and tasty) combinations.  The burgers are good though the toasted buns do not hold up to the challenge of...,4,2019-07-26 18:37:52,uu11yfNncVGXqaTlhRtFUg,WaHjIl7d7XFU_Bc3cv1vrg,James F.
