id,name,is_closed,review_count,rating,price,distance,category,review_id,text,review_rate,restaurant_id,user_id,sentiment
vf6l-OLvtPKWSfFd9ZnsOw,Aprazível,0,142,4.5,3,6953.18379292682,Brazilian,kT7nhJ2X0ty7QDoAHz6Hmg,"Amazing food, drinks, and service. The ambiance is super cute. My only regret is I didn't realize they close at 5pm on Sundays and they but my ceviche in...",5.0,vf6l-OLvtPKWSfFd9ZnsOw,ijY19sIVo6CtPdBV-tNgvQ,0.35833333333333334
vf6l-OLvtPKWSfFd9ZnsOw,Aprazível,0,142,4.5,3,6953.18379292682,Brazilian,ciKlqV9BATuwyMKW62k0eg,"The view is the only reason to visit this place. The food is average at best. Portions small, limited menu, lacked presentation. 
Much better Moqueca in Rio.",1.0,vf6l-OLvtPKWSfFd9ZnsOw,EBr3lIkv6baPqcRmKv-QvQ,0.1714285714285714
vf6l-OLvtPKWSfFd9ZnsOw,Aprazível,0,142,4.5,3,6953.18379292682,Brazilian,D7CgurWvUTh8lZcLL_LPKg,Amazing food and the views are unmatched. I got a table right by the ledge overlooking Santa Theresa. I went for an early dinner/late lunch and had no...,5.0,vf6l-OLvtPKWSfFd9ZnsOw,OsqFyz9huyc65aSkVSoGZQ,0.32857142857142857
E1FQYklCR9qCMIzMrrjhsw,Braseiro,0,39,4.5,1,8148.526023653759,Brazilian,8ECy6Z4iUFbKdiJqFJJYWQ,"Excellent food and service. Picanha was our favorite. Also had delicious chicken, beans and rice. Sit and the bar...",5.0,E1FQYklCR9qCMIzMrrjhsw,K7F4icgDthecvgc9uc6OwQ,0.475
E1FQYklCR9qCMIzMrrjhsw,Braseiro,0,39,4.5,1,8148.526023653759,Brazilian,rQDmXLvzadd18kh5neybqQ,This is a local hole in the wall.  Cleanliness is not great.  Service was good.  We ordered the picahna for two and three of us ate.  We were full though we...,3.0,E1FQYklCR9qCMIzMrrjhsw,2nTANFp8TnGRj34Wg0Ohfg,0.16249999999999998
E1FQYklCR9qCMIzMrrjhsw,Braseiro,0,39,4.5,1,8148.526023653759,Brazilian,xvEdtS5yV4v79jfSwqrovQ,"This is a hidden gem in Rio!  I found it through a Yelp search near my hotel (Hilton Copacabana - a great hotel...) sorted by ratings.  

The meal was...",5.0,E1FQYklCR9qCMIzMrrjhsw,3eac8SVagrK5DAb5Jxmwzw,0.2305555555555556
jPmgGTlstrxhbCaySqNOTw,NOSSO,0,10,4.5,1,7303.38726912879,European,nHczr_99sv1qXq5w4wvbjg,"One of the best meals we had during our week-long trip to Rio! Even though there was a bit of a language barrier with our waiter, he was so kind, attentive,...",5.0,jPmgGTlstrxhbCaySqNOTw,ez3GBw83OIgzzgvc0R4jzw,0.6666666666666666
jPmgGTlstrxhbCaySqNOTw,NOSSO,0,10,4.5,1,7303.38726912879,European,CnLmJDY8UpXw5-emkHagLw,"We were visiting on vacation and stumbled across Nosso on the map and decided to give it a try - and we're happy we did!

From the moment you walk in the...",5.0,jPmgGTlstrxhbCaySqNOTw,5sLBC3kK4bq67MvehNLtYA,1.0
jPmgGTlstrxhbCaySqNOTw,NOSSO,0,10,4.5,1,7303.38726912879,European,UBx12OBY8xezpU39niNqYQ,We love NOSSO! Amazing service and delicious food and drinks. The atmosphere was beautiful. Great prices for the quality of food and attentive service....,5.0,jPmgGTlstrxhbCaySqNOTw,lTq4TjnfT6SbGrLFSJ_CJg,0.7125
vgfhhEjfxrY9Soh0M80JZw,Ferro e Farinha,0,30,4.5,2,7888.899910994605,Type of Restaurant,jrojCM-xRWh-lGpqpmqq8Q,My favorite pizza I've ever had. The crust is perfection - rivaling anything and everything I ate during my stay in Naples last year (which was glorious and...,5.0,vgfhhEjfxrY9Soh0M80JZw,NrgqEUf-kQtF0cbw6RW8TQ,0.25
