id,url,text,rating,time_created,user,restaurant_id
BPOYBi06vu7_EP6dc97euA,https://www.yelp.com/biz/mau%C3%A1-rio-de-janeiro-3?adjust_creative=ZaFQ4_OiriT3AVd55N_QPg&hrid=BPOYBi06vu7_EP6dc97euA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=ZaFQ4_OiriT3AVd55N_QPg,"We had a bad experience, four of the plates we disered to eat, they didn't have. We stayed there for more than one hour having our started and a drink, and...",2,2016-02-13 12:55:03,"{'id': '6lMgful69e7rc4IsASSOXA', 'profile_url': 'https://www.yelp.com/user_details?userid=6lMgful69e7rc4IsASSOXA', 'image_url': 'https://s3-media1.fl.yelpcdn.com/photo/TYayVMjHYu7D-Um7UbDFsw/o.jpg', 'name': 'Pola L.'}",OqC-dZn8FR7RFeMNBps5KQ
6v6gQ2DCNFTVXOSOeu1EdQ,https://www.yelp.com/biz/canto-d-alice-rio-de-janeiro?adjust_creative=ZaFQ4_OiriT3AVd55N_QPg&hrid=6v6gQ2DCNFTVXOSOeu1EdQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=ZaFQ4_OiriT3AVd55N_QPg,"For me is the best option in laranjeiras! Good prices and very good food, in a lovely house!",5,2014-08-03 23:49:23,"{'id': 'kLtoDgHQXAvfwTbbc3OIdg', 'profile_url': 'https://www.yelp.com/user_details?userid=kLtoDgHQXAvfwTbbc3OIdg', 'image_url': 'https://s3-media1.fl.yelpcdn.com/photo/WO5GPaaQeOtYH35zXclo9w/o.jpg', 'name': 'Isabel S.'}",ax60uuiBTsDPg5Br4wVopA
DHep2C11I_7LFF38o61HUg,https://www.yelp.com/biz/br%C3%A1z-pizzaria-rio-de-janeiro-3?adjust_creative=ZaFQ4_OiriT3AVd55N_QPg&hrid=DHep2C11I_7LFF38o61HUg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=ZaFQ4_OiriT3AVd55N_QPg,Great vegan pizza option with delivery that took less than the 40 minutes they promised. I would have given them five stars if the price was lower.,4,2018-12-12 16:46:48,"{'id': 'TxW-se2A3UW19c9RPhCPYw', 'profile_url': 'https://www.yelp.com/user_details?userid=TxW-se2A3UW19c9RPhCPYw', 'image_url': 'https://s3-media3.fl.yelpcdn.com/photo/pUTLbJY2U4yDAIA0QySXbQ/o.jpg', 'name': 'Victor V.'}",6nsq6ISDAXck7HkiGFMziQ
dHFkoyKSc8xk0oFcdZXDDQ,https://www.yelp.com/biz/br%C3%A1z-pizzaria-rio-de-janeiro-3?adjust_creative=ZaFQ4_OiriT3AVd55N_QPg&hrid=dHFkoyKSc8xk0oFcdZXDDQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=ZaFQ4_OiriT3AVd55N_QPg,"This is my favorite sit-down spot for pizza in Brazil (I say Brazil because they have locations spread throughout major cities). As a local chain, there...",4,2015-11-19 07:34:32,"{'id': 'RgDVC3ZUBqpEe6Y1kPhIpw', 'profile_url': 'https://www.yelp.com/user_details?userid=RgDVC3ZUBqpEe6Y1kPhIpw', 'image_url': 'https://s3-media4.fl.yelpcdn.com/photo/MPIOsWVjVXE7_VilIzXJiQ/o.jpg', 'name': 'Monica S.'}",6nsq6ISDAXck7HkiGFMziQ
le8WqcbEwQuq9uCVqZ2lIw,https://www.yelp.com/biz/br%C3%A1z-pizzaria-rio-de-janeiro-3?adjust_creative=ZaFQ4_OiriT3AVd55N_QPg&hrid=le8WqcbEwQuq9uCVqZ2lIw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=ZaFQ4_OiriT3AVd55N_QPg,"Everything here was perfect!
The wait was ok, even with a lot of people before my turn (30/40 min table for two)
Pizza italian style was amazing, delicious....",5,2017-03-02 11:44:52,"{'id': '-rEw4rDvL3F0SaU40oITnw', 'profile_url': 'https://www.yelp.com/user_details?userid=-rEw4rDvL3F0SaU40oITnw', 'image_url': 'https://s3-media4.fl.yelpcdn.com/photo/U2QVgongJ_Xp1IS2jKuftg/o.jpg', 'name': 'Luis M.'}",6nsq6ISDAXck7HkiGFMziQ
LJvGM-FmDlOfrYcuKSNRNA,https://www.yelp.com/biz/jack-salada-rio-de-janeiro?adjust_creative=ZaFQ4_OiriT3AVd55N_QPg&hrid=LJvGM-FmDlOfrYcuKSNRNA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=ZaFQ4_OiriT3AVd55N_QPg,Great option for an awesome salad and a very solicitous service. A bit pricey though.,4,2016-01-24 05:59:56,"{'id': 'RBvHrSFIpEcvZH_16HYgzg', 'profile_url': 'https://www.yelp.com/user_details?userid=RBvHrSFIpEcvZH_16HYgzg', 'image_url': 'https://s3-media4.fl.yelpcdn.com/photo/HRGsA7IbnEyAPmmg-GkOLA/o.jpg', 'name': 'Ronnie P.'}",8D_cFNqG_HDfVWSb_kUctQ
ayKWz7JDimtHvbhSu0vqwQ,https://www.yelp.com/biz/portella-rio-de-janeiro?adjust_creative=ZaFQ4_OiriT3AVd55N_QPg&hrid=ayKWz7JDimtHvbhSu0vqwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=ZaFQ4_OiriT3AVd55N_QPg,It's supposed to be authentic food but given the crowds it's probably catering to the tourists - the price certainly feels that way. Decent food but nothing...,3,2022-01-17 10:42:04,"{'id': 'RD365MaKbCCjpZQ2KkxROg', 'profile_url': 'https://www.yelp.com/user_details?userid=RD365MaKbCCjpZQ2KkxROg', 'image_url': 'https://s3-media1.fl.yelpcdn.com/photo/hOEP0hehyc9IKkrjZGt9ew/o.jpg', 'name': 'Alex H.'}",uqjJ4EbivqrY4SH6ys2tgw
MdFygmXK7rzT-lrLt4gejQ,https://www.yelp.com/biz/portella-rio-de-janeiro?adjust_creative=ZaFQ4_OiriT3AVd55N_QPg&hrid=MdFygmXK7rzT-lrLt4gejQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=ZaFQ4_OiriT3AVd55N_QPg,"This was the best restaurant of all the places we ate in brazil. We started off with the meat croquets and and shrimp croquets. They were both pretty good,...",4,2016-09-15 16:03:48,"{'id': '_tpzswb4NTS4bniz9aM1nQ', 'profile_url': 'https://www.yelp.com/user_details?userid=_tpzswb4NTS4bniz9aM1nQ', 'image_url': 'https://s3-media2.fl.yelpcdn.com/photo/UaT3hXxSme2p7pOqJrlMGQ/o.jpg', 'name': 'Phi N.'}",uqjJ4EbivqrY4SH6ys2tgw
NLeUdMFizlDeQVefk7DncQ,https://www.yelp.com/biz/portella-rio-de-janeiro?adjust_creative=ZaFQ4_OiriT3AVd55N_QPg&hrid=NLeUdMFizlDeQVefk7DncQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=ZaFQ4_OiriT3AVd55N_QPg,"Excellent service and food. We've gone out to eat every day as we are traveling, but in this restaurant we enjoyed everything.",5,2022-03-23 10:06:37,"{'id': '6N6pcxAFSi-4Gtrfx1RoAw', 'profile_url': 'https://www.yelp.com/user_details?userid=6N6pcxAFSi-4Gtrfx1RoAw', 'image_url': None, 'name': 'Sam M.'}",uqjJ4EbivqrY4SH6ys2tgw
Fek5GSZgub-LYM1Orr3dUQ,https://www.yelp.com/biz/lopes-rio-de-janeiro?adjust_creative=ZaFQ4_OiriT3AVd55N_QPg&hrid=Fek5GSZgub-LYM1Orr3dUQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=ZaFQ4_OiriT3AVd55N_QPg,Good hearty portion of food and the price is right. Small on the strip diner serve a lot of juices and food. I ordered the Beef Stroganoff. I don't think it...,5,2014-12-10 19:23:10,"{'id': 'oPk-yuEKjvc7mTSeXDwr8Q', 'profile_url': 'https://www.yelp.com/user_details?userid=oPk-yuEKjvc7mTSeXDwr8Q', 'image_url': 'https://s3-media2.fl.yelpcdn.com/photo/U4K6a0c5-OdJPcpQevfp0Q/o.jpg', 'name': 'Clement H.'}",n-v2hCmg_YWv7DE_jKF0CQ
